Duration	Gender	Age	Region	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	EDU	NAT_1	NAT_2	NAT_3	NAT_6	LNG1	EXCLUDE	LNG2	EXP1	EXP2	EXP3	RHAB
1312	Female	23	West	4	4	3	5	5	5	4	5	4	2	5	2	1	7	2	2	1	1	5	A	4	4	5	1	4	1	1	1	5	1	1	2	3	4	4	4	4	4	4	5	10	0	0	2	6	5	4	6	10	9	10	7	5	10	6	4	2	4	6	6	2	3	2	7	5	7	4	5	LDS	University / College / Undergraduate School (Bachelor Degree)	USA 	USA 	Shipper/Receiver	UT	Yes			3	2	1	10
764	Female	51	Midwest	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	4	1	A	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	5	5	0	0	5	0	0	5	5	5	5	5	5	5	6	3	3	3	4	6	3	3	2	6	6	6	5	6	Self	Vocational School / Technical College / Communication College (Associate Degree)	Usa	Usa	Store owner	Ks	Yes			2	1	1	1
805	Male	56	Midwest	1	2	1	5	2	2	3	1	7	7	4	4	3	4	7	7	1	4	3	B	7	7	6	7	7	4	4	1	7	7	1	7	7	4	4	4	4	3	0	0	7	0	0	1	7	0	0	0	9	0	5	0	0	5	4	2	7	5	4	5	6	6	4	4	5	3	5	5	nonpracticing nondenominatinal Christian	University / College / Undergraduate School (Bachelor Degree)	United States	United States	retired engineer	OH	Yes			7	8	6	0
1235	Male	29	West	1	1	1	5	2	4	4	1	7	7	1	4	4	4	7	1	1	4	2	A	4	4	4	4	4	4	4	4	4	4	4	4	4	-4	-4	-4	-4	-4	-4	0	0	5	0	0	0	0	0	0	7	0	1	0	0	3	5	3	1	5	6	6	1	4	1	5	5	6	5	4	None	Other	United States	United States	Student	CA	Yes			5	3	1	2
1021	Female	50	South	5	5	1	4	3	1	4	1	7	4	6	7	4	4	5	5	5	4	6	A	2	1	1	1	1	1	1	2	2	3	2	2	2	4	4	4	4	4	4	10	5	10	5	5	7	5	10	5	10	10	7	10	10	5	5	6	7	7	5	4	4	5	2	6	7	5	4	2	baptist	Vocational School / Technical College / Communication College (Associate Degree)	United States	United States	Lockbox Associate	NC	Yes			6	5	6	3
1801	Male	46	Northeast	4	3	4	4	4	3	3	4	5	7	5	5	6	5	6	5	3	7	6	A	6	5	5	6	5	5	5	5	5	5	5	5	4	4	4	4	3	3	3	9	8	9	9	6	8	7	8	8	9	7	8	8	7	8	5	6	5	5	6	6	7	6	6	6	6	4	5	6	Christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	USA	USA	Manger	New York	Yes			7	3	1	6
929	Female	20	Northeast	5	4	4	5	5	5	4	4	6	4	4	1	1	7	1	1	6	2	1	B	3	1	2	1	1	1	1	1	1	1	1	1	1	0	1	4	3	3	3	1	8	0	0	3	6	0	0	0	7	1	10	2	0	10	7	1	1	7	7	7	2	1	2	6	7	7	6	7	None	Other	Us	Us	House	Ri	Yes			5	5	2	1
533	Female	20	Midwest	5	5	3	5	5	5	5	4	7	7	7	5	7	6	7	7	6	5	6	A	4	4	4	4	4	4	1	1	3	1	1	4	4	2	2	4	4	4	4	0	5	0	0	5	5	5	0	0	10	0	10	0	5	10	7	1	1	7	7	7	5	7	2	7	7	4	5	6	None	Vocational School / Technical College / Communication College (Associate Degree)	USA 	USA 	Cna 	IN	Yes			1	1	1	0
752	Male	34	Northeast	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	5	5	10	7	4	2	7	7	7	7	7	2	7	7	7	7	7	Christianity 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	United States of America 	United States of America 	Business Owner 	New York City 	Yes			7	7	7	9
1014	Male	51	West	5	5	5	5	1	1	5	1	7	4	1	5	7	4	7	4	1	1	4	A	1	1	1	4	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	10	5	10	0	0	5	5	0	0	5	5	5	0	5	10	1	1	1	7	7	7	1	7	1	7	7	7	7	7	Methodist 	Vocational School / Technical College / Communication College (Associate Degree)	United states of America 	Colorado 	Meat dept stocker	Colorado	Yes			2	1	1	2
1298	Female	34	Northeast	4	4	4	5	2	2	5	2	7	7	7	7	6	7	6	7	1	7	7	A	6	5	2	2	1	1	1	3	2	1	1	4	4	4	3	4	4	3	4	8	9	2	2	8	8	3	8	9	10	10	10	8	9	9	7	5	1	5	7	7	1	6	1	7	6	7	6	7	No religion 	University / College / Undergraduate School (Bachelor Degree)	United States of America 	United States of America 	Manager 	New York 	Yes		Native	5	1	1	0
483	Male	45	South	3	4	3	3	3	4	2	3	3	4	5	4	5	4	5	4	4	5	5	B	5	4	5	4	5	4	4	5	5	4	5	4	5	0	1	-1	1	1	0	5	6	4	6	5	6	5	6	5	6	5	4	6	5	6	4	5	4	3	5	4	6	3	4	5	4	3	5	4	Protestant 	Vocational School / Technical College / Communication College (Associate Degree)	USA	USA	Communication / information 	FLORIDA 	Yes		Conversational	4	3	4	3
814	Male	40	South	4	4	3	4	4	4	4	5	7	6	6	7	6	7	6	7	6	6	7	A	2	2	3	2	2	1	1	1	4	3	3	3	1	2	2	3	4	3	0	8	7	7	9	7	6	6	5	1	5	6	9	1	1	4	6	5	7	6	7	6	4	2	2	6	6	6	2	6	Protestant 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	US	US	Manager at a Financial Institution	Georgia	Yes			6	4	5	10
1365	Female	40	Northeast	5	4	3	4	5	5	4	4	7	6	4	5	7	6	6	5	6	4	7	A	1	1	2	1	1	1	1	1	2	1	1	1	1	4	4	3	2	4	4	10	9	8	8	9	8	1	2	5	5	8	8	7	7	9	6	4	1	7	5	7	3	5	1	3	7	7	7	7	Christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	United States	United States	IT professional	Indiana	Yes			7	6	7	10
