id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
31	EN1025	US	7	5	5	5	5	7	7	5	5	7	7	5	6	4	3	2	4	2	2	2	1	5	5	1	5	4	3	4	5	7	5	5	4	4	4	4	4	4	5	7	2	0	0	8	0	0	0	8	0	8	2	1	8	7	4	6	3	7	5	7	3	6	5	4	7	5	6	5	4	1	10	NA	NA	0	29	West	Non denominal	United states	United states	Unemployed	California	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
32	EN1026	US	1	1	4	1	1	4	4	4	4	4	4	4	4	2	2	2	5	1	1	2	1	5	6	4	7	6	1	6	6	7	3	6	4	4	4	4	4	4	10	5	0	0	0	5	0	0	0	5	0	5	5	0	5	7	7	7	3	7	7	7	3	7	7	7	7	7	7	8	1	1	10	NA	NA	0	52	South	christian	us	us	disabled	tx	Yes		Junior High School / Middle School	A
33	EN1027	US	7	6	7	7	7	7	7	6	5	7	7	7	7	5	5	5	5	5	4	4	3	6	2	1	1	3	2	2	1	7	1	1	4	4	3	2	3	1	1	3	0	0	2	6	0	2	1	7	5	4	5	0	7	7	6	7	7	7	7	7	6	6	7	3	6	5	7	6	5	1	4	NA	NA	1	23	South	Christian	USA	USA	Customer service	NC	Yes		University / College / Undergraduate School (Bachelor Degree)	A
34	EN1028	US	6	7	7	7	7	7	7	7	7	7	7	7	6	2	2	2	4	3	4	4	3	6	6	2	5	2	2	5	2	7	1	2	4	4	4	4	4	4	0	8	0	0	0	9	0	5	0	10	0	7	7	0	8	6	3	6	6	6	6	6	2	6	6	6	6	4	6	8	8	8	10	NA	NA	0	56	Midwest	Lutheran	USA	USA	teacher	IA	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	B
35	EN1029	US	2	7	7	7	7	7	7	7	7	6	7	7	7	5	4	4	5	4	4	5	5	6	5	4	6	4	4	7	6	2	4	5	4	4	4	0	3	4	10	5	9	0	5	3	9	1	0	10	1	9	1	5	6	7	7	7	7	7	7	7	6	7	7	7	7	7	7	8	8	7	0	NA	NA	0	40	South	Not 	Miami 	Miami	Marketing 	Florida 	Yes	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
36	EN103	US	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	7	1	1	-4	-4	-4	-4	-4	-4	0	10	0	0	0	10	0	0	0	10	0	10	0	0	10	7	4	7	2	7	7	6	1	7	7	7	7	4	7	4	1	1	0	NA	NA	0	50	Northeast	None	United States	United States	Server	Maryland	Yes		Other	A
37	EN1030	US	2	3	5	2	3	5	5	6	4	6	6	6	6	2	4	4	5	5	3	5	3	6	5	4	4	4	4	5	5	5	4	5	3	3	0	3	0	0	5	5	0	0	5	8	0	0	1	5	5	8	0	0	5	7	6	7	7	6	7	6	6	5	5	5	4	5	5	2	1	1	10	NA	NA	1	31	West	Christian 	Us	Us	None 	Ny	Yes		University / College / Undergraduate School (Bachelor Degree)	A
38	EN1031	US	5	7	7	7	7	7	7	7	7	7	7	7	7	3	4	3	4	2	4	4	2	7	3	4	5	4	1	4	2	6	2	3	-3	-3	0	0	2	3	0	6	0	0	0	7	0	0	0	8	0	3	0	0	6	4	4	5	5	6	4	6	5	4	4	3	5	3	6	4	3	1	0	NA	NA	1	26	Midwest	Athiest	United states	United states	Pet care provider manager 	Minnesota	Yes		University / College / Undergraduate School (Bachelor Degree)	A
39	EN1032	US	7	6	2	2	2	7	4	7	3	6	7	4	3	4	2	1	2	1	1	1	1	5	4	3	4	5	4	1	5	4	2	4	4	1	0	-4	1	4	4	0	0	0	0	1	0	0	0	1	0	2	0	0	0	4	4	7	4	5	5	1	5	7	5	6	7	5	6	1	1	1	0	NA	NA	1	53	Northeast	Baptist 	usa	Usa	retirement 	ny	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
40	EN1033	US	7	6	7	6	6	7	7	7	6	7	7	5	6	4	3	3	5	3	5	3	2	7	7	4	6	6	4	4	7	3	4	1	1	1	3	1	2	3	1	9	1	0	1	3	0	1	0	8	5	6	6	0	10	7	6	7	7	6	7	4	4	6	6	3	5	4	4	3	2	1	1	NA	NA	1	39	Northeast	Hindu	Usa	Usa	It	Ct	No	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
